zipCode,address,city,nameOnCard,creditCardNumber,cardType,creditCardMonth,creditCardYear,state,inputName
743122,Kolkata,WB,Soumarshi1,1234567,amex1,1,2024,west bengal1,Soumarshi1
743123,Ranaghat,Bombay,Soumarshi2,1234568,amex2,2,2025,west bengal2,Soumarshi2
743124,Banglore,LIP,Soumarshi3,1234569,amex3,3,2026,west bengal3,Soumarshi3
743125,Salt Lake,Sectorv,Soumarshi4,1234570,amex4,4,2027,west bengal4,Soumarshi4
743126,Delhi,Noida,Soumarshi5,1234571,amex5,5,2028,west bengal5,Soumarshi5
743127,Jalandhar,Punjab,Soumarshi6,1234572,amex6,6,2029,west bengal6,Soumarshi6
743128,Pune,MAH,Soumarshi7,1234573,amex7,7,2030,west bengal7,Soumarshi7
743129,Hyderabad,Telengana,Soumarshi8,1234574,amex8,8,2031,west bengal8,Soumarshi8
743130,Random,Randomd,Soumarshi9,1234575,amex9,9,2032,west bengal9,Soumarshi9
743131,Country,Budapest,Soumarshi10,1234576,amex10,10,2033,west bengal10,Soumarshi10
